ID,Latitude,Longitude,Date,MODIS_Tile,MOD17A2H_061_Line_Y_500m,MOD17A2H_061_Sample_X_500m,MOD17A2H_061_Gpp_500m,MOD17A2H_061_Psn_QC_500m,MOD17A2H_061_Psn_QC_500m_bitmask,MOD17A2H_061_Psn_QC_500m_MODLAND,MOD17A2H_061_Psn_QC_500m_MODLAND_Description,MOD17A2H_061_Psn_QC_500m_Sensor,MOD17A2H_061_Psn_QC_500m_Sensor_Description,MOD17A2H_061_Psn_QC_500m_DeadDetector,MOD17A2H_061_Psn_QC_500m_DeadDetector_Description,MOD17A2H_061_Psn_QC_500m_CloudState,MOD17A2H_061_Psn_QC_500m_CloudState_Description,MOD17A2H_061_Psn_QC_500m_SCF_QC,MOD17A2H_061_Psn_QC_500m_SCF_QC_Description
aceabsar,45.56,-109.61,2021-04-15,h10v04,1065.0,781.0,0.0024,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-04-23,h10v04,1065.0,781.0,0.0101,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-05-01,h10v04,1065.0,781.0,0.0136,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-05-09,h10v04,1065.0,781.0,0.0193,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-05-17,h10v04,1065.0,781.0,0.0203,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-05-25,h10v04,1065.0,781.0,0.0281,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-06-02,h10v04,1065.0,781.0,0.0381,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-06-10,h10v04,1065.0,781.0,0.0331,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-06-18,h10v04,1065.0,781.0,0.0284,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-06-26,h10v04,1065.0,781.0,0.0236,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-07-04,h10v04,1065.0,781.0,0.0187,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-07-12,h10v04,1065.0,781.0,0.0159,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-07-20,h10v04,1065.0,781.0,0.0125,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-07-28,h10v04,1065.0,781.0,0.0133,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-08-05,h10v04,1065.0,781.0,0.0137,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-08-13,h10v04,1065.0,781.0,0.0097,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-08-21,h10v04,1065.0,781.0,0.0155,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-08-29,h10v04,1065.0,781.0,0.014,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-09-06,h10v04,1065.0,781.0,0.0128,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-09-14,h10v04,1065.0,781.0,0.0083,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-09-22,h10v04,1065.0,781.0,0.0075,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-09-30,h10v04,1065.0,781.0,0.0059,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-10-08,h10v04,1065.0,781.0,0.004,16.0,0b00010000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present in pixel,0b000,Very best possible
aceabsar,45.56,-109.61,2021-10-16,h10v04,1065.0,781.0,0.0045,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-10-24,h10v04,1065.0,781.0,0.0032,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-11-01,h10v04,1065.0,781.0,0.0031,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-11-09,h10v04,1065.0,781.0,0.0019,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-11-17,h10v04,1065.0,781.0,0.0017,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-11-25,h10v04,1065.0,781.0,0.0019,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-12-03,h10v04,1065.0,781.0,0.0003,0.0,0b00000000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-12-11,h10v04,1065.0,781.0,0.0004,8.0,0b00001000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,Very best possible
aceabsar,45.56,-109.61,2021-12-19,h10v04,1065.0,781.0,0.0004,8.0,0b00001000,0b0,Good quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,Very best possible
aceabsar,45.56,-109.61,2021-12-27,h10v04,1065.0,781.0,0.0,73.0,0b01001001,0b1,Other quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b010,Substandard due to geometry problems - use with caution
aceabsar,45.56,-109.61,2022-01-01,h10v04,1065.0,781.0,0.0,65.0,0b01000001,0b1,Other quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b010,Substandard due to geometry problems - use with caution
aceabsar,45.56,-109.61,2022-01-09,h10v04,1065.0,781.0,0.001,73.0,0b01001001,0b1,Other quality,0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b010,Substandard due to geometry problems - use with caution
