ID,Latitude,Longitude,Date,MODIS_Tile,MOD16A2_061_Line_Y_500m,MOD16A2_061_Sample_X_500m,MOD16A2_061_ET_500m,MOD16A2_061_PET_500m,MOD16A2_061_ET_QC_500m,MOD16A2_061_ET_QC_500m_bitmask,MOD16A2_061_ET_QC_500m_MODLAND,MOD16A2_061_ET_QC_500m_MODLAND_Description,MOD16A2_061_ET_QC_500m_Sensor,MOD16A2_061_ET_QC_500m_Sensor_Description,MOD16A2_061_ET_QC_500m_DeadDetector,MOD16A2_061_ET_QC_500m_DeadDetector_Description,MOD16A2_061_ET_QC_500m_CloudState,MOD16A2_061_ET_QC_500m_CloudState_Description,MOD16A2_061_ET_QC_500m_SCF_QC,MOD16A2_061_ET_QC_500m_SCF_QC_Description
aceabsar,45.56,-109.61,2021-03-22,h10v04,1065.0,781.0,8.4000006,19.3000011,16.0,0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2021-03-30,h10v04,1065.0,781.0,7.0999999,30.7000008,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2021-04-07,h10v04,1065.0,781.0,8.1999998,26.5,16.0,0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2021-04-15,h10v04,1065.0,781.0,10.1999998,28.8000011,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2021-04-23,h10v04,1065.0,781.0,8.3000002,33.2000008,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2021-05-01,h10v04,1065.0,781.0,9.1000004,34.2999992,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2021-05-09,h10v04,1065.0,781.0,10.1000004,35.2999992,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2021-05-17,h10v04,1065.0,781.0,13.0,37.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2021-05-25,h10v04,1065.0,781.0,9.5,46.9000015,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2021-06-02,h10v04,1065.0,781.0,13.6999998,58.0,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
