ID,Latitude,Longitude,Date,MODIS_Tile,MOD16A2_061_Line_Y_500m,MOD16A2_061_Sample_X_500m,MOD16A2_061_ET_500m,MOD16A2_061_PET_500m,MOD16A2_061_ET_QC_500m,MOD16A2_061_ET_QC_500m_bitmask,MOD16A2_061_ET_QC_500m_MODLAND,MOD16A2_061_ET_QC_500m_MODLAND_Description,MOD16A2_061_ET_QC_500m_Sensor,MOD16A2_061_ET_QC_500m_Sensor_Description,MOD16A2_061_ET_QC_500m_DeadDetector,MOD16A2_061_ET_QC_500m_DeadDetector_Description,MOD16A2_061_ET_QC_500m_CloudState,MOD16A2_061_ET_QC_500m_CloudState_Description,MOD16A2_061_ET_QC_500m_SCF_QC,MOD16A2_061_ET_QC_500m_SCF_QC_Description
aceabsar,45.56,-109.61,2022-05-01,h10v04,1065.0,781.0,9.4000006,35.1000023,16.0,0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
aceabsar,45.56,-109.61,2022-05-09,h10v04,1065.0,781.0,8.6999998,33.1000023,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
acebozem,45.66,-111.07,2021-01-01,h10v04,1041.0,569.0,3.5,3.6000001,73.0,0b01001001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b010,"Main (RT) method failed due to bad geometry, empirical algorithm used"
acebozem,45.66,-111.07,2021-01-09,h10v04,1041.0,569.0,3.6000001,3.8,73.0,0b01001001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b010,"Main (RT) method failed due to bad geometry, empirical algorithm used"
acebozem,45.66,-111.07,2021-01-17,h10v04,1041.0,569.0,3.3,3.4000001,73.0,0b01001001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b010,"Main (RT) method failed due to bad geometry, empirical algorithm used"
acebozem,45.66,-111.07,2021-01-25,h10v04,1041.0,569.0,3.5,3.7,105.0,0b01101001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
acebozem,45.66,-111.07,2021-02-02,h10v04,1041.0,569.0,3.6000001,3.7,97.0,0b01100001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
acebozem,45.66,-111.07,2021-02-10,h10v04,1041.0,569.0,2.5,2.5,97.0,0b01100001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
acebozem,45.66,-111.07,2021-02-18,h10v04,1041.0,569.0,3.6000001,3.8,105.0,0b01101001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
acebozem,45.66,-111.07,2021-02-26,h10v04,1041.0,569.0,4.8000002,5.4000001,105.0,0b01101001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
acebozem,45.66,-111.07,2021-03-06,h10v04,1041.0,569.0,9.6999998,12.8000002,105.0,0b01101001,0b1,Other Quality (back-up algorithm or fill values),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b011,"Main (RT) method failed due to problems other than geometry, empirical algorithm used"
acebozem,45.66,-111.07,2021-03-14,h10v04,1041.0,569.0,12.3000002,15.6000004,16.0,0b00010000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b10,Mixed cloud present on pixel,0b000,"Main (RT) method used, best result possible (no saturation)"
acebozem,45.66,-111.07,2021-03-22,h10v04,1041.0,569.0,10.3000002,13.1999998,8.0,0b00001000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,"Main (RT) method used, best result possible (no saturation)"
acebozem,45.66,-111.07,2021-03-30,h10v04,1041.0,569.0,11.1999998,27.3000011,0.0,0b00000000,0b0,Good quality (main algorithm with or without saturation),0b0,Terra,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,"Main (RT) method used, best result possible (no saturation)"
