ID,Latitude,Longitude,Date,MODIS_Tile,MYD17A2H_061_Line_Y_500m,MYD17A2H_061_Sample_X_500m,MYD17A2H_061_Gpp_500m,MYD17A2H_061_Psn_QC_500m,MYD17A2H_061_Psn_QC_500m_bitmask,MYD17A2H_061_Psn_QC_500m_MODLAND,MYD17A2H_061_Psn_QC_500m_MODLAND_Description,MYD17A2H_061_Psn_QC_500m_Sensor,MYD17A2H_061_Psn_QC_500m_Sensor_Description,MYD17A2H_061_Psn_QC_500m_DeadDetector,MYD17A2H_061_Psn_QC_500m_DeadDetector_Description,MYD17A2H_061_Psn_QC_500m_CloudState,MYD17A2H_061_Psn_QC_500m_CloudState_Description,MYD17A2H_061_Psn_QC_500m_SCF_QC,MYD17A2H_061_Psn_QC_500m_SCF_QC_Description
aceabsar,45.56,-109.61,2021-06-02,h10v04,1065.0,781.0,0.0359,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-06-10,h10v04,1065.0,781.0,0.0302,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-06-18,h10v04,1065.0,781.0,0.0398,10.0,0b00001010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,Very best possible
aceabsar,45.56,-109.61,2021-06-26,h10v04,1065.0,781.0,0.0207,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-07-04,h10v04,1065.0,781.0,0.0167,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-07-12,h10v04,1065.0,781.0,0.0146,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-07-20,h10v04,1065.0,781.0,0.0131,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-07-28,h10v04,1065.0,781.0,0.0177,10.0,0b00001010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b01,Significant clouds WERE present,0b000,Very best possible
aceabsar,45.56,-109.61,2021-08-05,h10v04,1065.0,781.0,0.0117,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
aceabsar,45.56,-109.61,2021-08-13,h10v04,1065.0,781.0,0.0081,2.0,0b00000010,0b0,Good quality,0b1,Aqua,0b0,"Detectors apparently fine for up to 50% of channels 1, 2",0b00,Significant clouds NOT present (clear),0b000,Very best possible
